event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00001,C0488,,09/08/2024 3:25,eta_refresh,S19847,Android,north,301,1
AE00002,C0595,O00950,13/02/2024 22:29,search_route,S32766,Android,SOUTH,60,1
AE00003,C0494,O00170,11/08/2025 9:29,chat_opened,S99516,iOS,Airport,1118,1
AE00004,C0407,O00756,23/08/2025 17:38,eta_refresh,S41236,iOS,CENTRAL,442,1
AE00005,C0506,,29/05/2024 10:33,search_route,S12030,iOS,north,60,1
AE00006,C0498,O01196,08/02/2025 9:50,track_order,S66655,Web,West,499,1
AE00007,C0033,O00028,20/04/2025 19:06,chat_opened,S79495,Android,South,169,1
AE00008,C0091,O00076,18/08/2024 2:08,search_route,S59028,Android,Ctr,431,1
AE00009,C0421,O01222,20/07/2025 11:46,eta_refresh,S76526,Web,North,609,1
AE00010,C0553,O00854,10/07/2024 13:11,chat_opened,S24618,Android,WEST,167,1
AE00011,C0643,O00192,10/05/2025 11:23,delivery_instruction_update,S22799,iOS,Ctr,182,1
AE00012,C0095,O01080,10/12/2025 19:11,chat_escalated,S57519,Android,Ctr,60,1
AE00013,C0479,O00414,28/05/2024 15:11,chat_escalated,S37114,Web,WEST,399,0
AE00014,C0626,O01054,04/04/2025 13:19,track_order,S75243,Android,AIRPORT,998,1
AE00015,C0014,O00860,16/08/2024 15:27,chat_opened,S71663,Android,WEST,238,1
AE00016,C0506,,13/01/2024 6:22,search_route,S47757,iOS,RiverSide,536,1
AE00017,C0170,O00424,04/04/2024 6:22,chat_escalated,S30048,Android,North,624,0
AE00018,C0530,O00295,12/11/2025 8:58,delivery_instruction_update,S76990,Android,NORTH,626,1
AE00019,C0179,O00628,31/03/2025 17:14,track_order,S88326,Android,South,707,1
AE00020,C0116,O01065,25/10/2025 19:05,chat_opened,S81897,Android,NORTH,196,1
AE00021,C0317,,22/09/2025 5:58,search_route,S89590,Android,Ctr,494,1
AE00022,C0188,O00844,28/03/2024 22:47,delivery_instruction_update,S29750,iOS,South,760,1
AE00023,C0543,O00854,16/10/2024 14:48,chat_opened,S76975,iOS,north,644,1
AE00024,C0022,O01082,11/03/2024 19:51,track_order,S59171,Android,EAST,60,1
AE00025,C0486,,27/06/2025 22:42,track_order,S29906,iOS,North,350,1
AE00026,C0490,O00330,16/11/2024 23:54,eta_refresh,S93151,Android,NORTH,388,1
AE00027,C0574,O00077,12/05/2024 6:04,delivery_instruction_update,S14580,iOS,Riverside,886,1
AE00028,C0166,,27/09/2024 0:44,track_order,S26243,Android,South,570,1
AE00029,C0367,,27/03/2024 16:30,payment_retry,S27022,Android,EAST,435,1
AE00030,C0455,O00229,07/06/2025 2:10,chat_opened,S74816,iOS,West,403,1
AE00031,C0241,O01158,09/06/2024 5:13,track_order,S52070,iOS,Airport,1660,1
AE00032,C0226,O00402,20/09/2025 0:20,search_route,S18892,Android,EAST,632,1
AE00033,C0587,O00742,03/01/2025 9:32,track_order,S56165,Android,north,520,1
AE00034,C0245,,21/08/2025 8:08,search_route,S39479,Android,CENTRAL,510,1
AE00035,C0017,,08/10/2025 17:17,payment_retry,S20798,iOS,SOUTH,60,1
AE00036,C0007,O00977,03/05/2025 17:47,chat_escalated,S19561,iOS,Ctr,362,0
AE00037,C0160,,26/08/2025 22:16,chat_opened,S73982,Android,East,458,1
AE00038,C0166,O00475,25/09/2025 11:47,eta_refresh,S10481,iOS,WEST,324,1
AE00039,C0274,,09/01/2024 23:40,payment_retry,S24754,iOS,Ctr,528,1
AE00040,C0532,O01015,17/11/2025 9:32,search_route,S82851,iOS,WEST,724,1
AE00041,C0075,O00349,24/05/2025 4:19,track_order,S44614,Android,Riverside,670,1
AE00042,C0409,O00044,18/09/2024 7:02,search_route,S80779,iOS,north,524,1
AE00043,C0200,O00954,27/11/2024 18:10,eta_refresh,S78974,Android,WEST,287,1
AE00044,C0633,O01022,04/06/2025 17:13,search_route,S44218,Android,CENTRAL,588,1
AE00045,C0163,O00696,09/10/2024 22:04,payment_retry,S76855,iOS,Airport,555,1
AE00046,C0531,O00016,30/10/2024 13:13,search_route,S55883,Web,WEST,326,1
AE00047,C0063,O00159,18/09/2024 14:52,track_order,S29662,iOS,East,344,1
AE00048,C0306,O01222,25/02/2025 4:16,chat_escalated,S77519,Android,RiverSide,166,0
AE00049,C0381,O01086,11/11/2025 17:22,chat_opened,S99244,Android,West,113,1
AE00050,C0114,,05/01/2024 23:16,track_order,S64182,Android,North,545,1
AE00051,C0080,O00512,18/10/2025 21:50,eta_refresh,S35136,Android,Ctr,473,1
AE00052,C0326,O01080,12/02/2024 2:37,payment_retry,S42021,Android,north,570,0
AE00053,C0349,O00467,28/11/2024 23:28,delivery_instruction_update,S83805,iOS,South,255,1
AE00054,C0138,O00189,01/05/2025 2:00,search_route,S82990,iOS,South,73,1
AE00055,C0120,O00922,29/09/2024 23:08,track_order,S55056,iOS,AIRPORT,800,1
AE00056,C0556,O01180,23/09/2025 17:24,payment_retry,S77071,Android,north,592,0
AE00057,C0266,O00600,03/11/2025 13:54,track_order,S51373,Android,East,585,1
AE00058,C0187,,26/08/2025 16:54,search_route,S24062,iOS,AIRPORT,207,1
AE00059,C0613,,30/12/2024 21:49,delivery_instruction_update,S18202,Android,East,327,1
AE00060,C0490,O00551,14/09/2025 12:20,search_route,S69751,iOS,Central,270,1
AE00061,C0551,O01205,31/03/2025 9:18,track_order,S46023,iOS,Airport,418,1
AE00062,C0116,O01105,29/01/2024 7:08,track_order,S57220,Android,Riverside,838,1
AE00063,C0549,O00656,06/11/2024 15:04,delivery_instruction_update,S42721,Android,East,274,1
AE00064,C0515,O00032,16/09/2024 15:36,track_order,S99350,Android,Central,840,1
AE00065,C0127,O01042,03/04/2024 4:07,delivery_instruction_update,S23520,Android,East,287,1
AE00066,C0612,,19/05/2025 7:41,payment_retry,S90136,Android,RiverSide,60,0
