customer_id,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status
C0001,26,North,SME,27/11/2024 4:25,44.9,69.2,App,Active
C0002,61,AIRPORT,Consumer,28/10/2025 1:04,55.4,66.6,App,Active
C0003,66,East,Consumer,02/07/2025 3:23,75.9,33.8,,Active
C0004,75,CENTRAL,Consumer,19/08/2025 1:58,32.5,33,App,Active
C0005,26,Riverside,Consumer,03/06/2025 6:02,55.9,100,Web,Active
C0006,41,WEST,Consumer,29/03/2024 13:26,39.9,43.3,Web,Active
C0007,54,WEST,Consumer,12/03/2024 7:05,36.1,39,App,Active
C0008,70,north,SME,18/07/2025 13:03,84.6,65.2,Web,Active
C0009,34,South,Consumer,02/08/2025 3:14,62.6,40.8,App,Active
C0010,23,West,Consumer,07/10/2025 20:37,87.2,48.6,Phone,Active
C0011,49,Ctr,Consumer,04/03/2024 18:37,79.9,72.5,Web,Active
C0012,60,Airport,Consumer,10/02/2025 1:14,46.3,74.4,App,Active
C0013,30,EAST,Enterprise,17/02/2024 17:54,31.3,51.7,App,Active
C0014,62,North,Consumer,16/05/2024 9:26,94.1,81,App,Active
C0015,37,SOUTH,SME,27/05/2024 17:07,54.5,52.8,Phone,Active
C0016,21,Riverside,Consumer,07/08/2025 9:35,42.7,50.9,Web,Active
C0017,30,South,SME,29/11/2025 5:06,72.1,55.4,App,Active
C0018,56,WEST,Consumer,18/08/2025 18:40,63.2,49.6,Web,Dormant
C0019,67,Riverside,Consumer,11/07/2024 11:06,50.3,65.5,App,Dormant
C0020,67,North,SME,14/07/2025 22:04,55.5,60.8,App,Active
C0021,30,CENTRAL,SME,31/07/2025 1:39,63.6,40.8,Phone,Active
C0022,71,RiverSide,Consumer,29/07/2024 15:43,62.2,58.9,App,Active
C0023,52,South,Consumer,28/06/2025 13:49,73.1,45.2,Web,Active
C0024,66,WEST,Consumer,17/11/2024 14:37,55.3,44.5,App,Active
C0025,23,Riverside,Consumer,09/04/2025 11:19,55.5,52.8,App,Active
C0026,34,NORTH,Enterprise,11/09/2024 5:44,70.6,74.8,Phone,Active
C0027,53,WEST,SME,06/09/2024 2:36,66,60.7,Web,Dormant
C0028,22,Ctr,Consumer,03/11/2024 16:31,78.5,79.6,App,Active
C0029,44,CENTRAL,Consumer,17/12/2024 23:28,57,85.2,App,Active
C0030,63,West,Consumer,21/10/2024 19:04,59.4,54.8,App,Active
C0031,35,SOUTH,Consumer,30/04/2024 16:26,42.5,44,Web,Active
C0032,69,West,Consumer,17/06/2024 10:09,85,40.5,Phone,Dormant
C0033,58,East,Consumer,15/05/2025 13:02,38.7,60.8,App,Active
C0034,39,WEST,Enterprise,15/11/2025 2:48,64.2,71.9,App,Active
C0035,22,East,Consumer,25/07/2025 18:50,46.7,85.5,App,Active
C0036,36,Airport,Consumer,17/11/2024 10:44,66.4,30.7,App,Active
C0037,51,Ctr,SME,24/12/2024 19:31,72.9,73,Phone,Active
C0038,21,East,Consumer,16/08/2025 14:04,34.8,75.8,App,Active
C0039,32,CENTRAL,Consumer,05/04/2024 8:30,57.6,100,Web,Active
C0040,21,South,Consumer,14/12/2025 21:04,32.9,59.1,App,Active
C0041,67,WEST,SME,03/03/2024 23:44,83.5,54.9,App,Active
C0042,24,EAST,Consumer,13/11/2024 20:36,53.9,26.7,Web,Active
C0043,40,Central,Consumer,28/11/2025 14:18,35.8,40.8,Web,Active
C0044,47,EAST,Consumer,30/01/2025 21:22,49.8,34.6,App,Active
C0045,73,WEST,SME,24/01/2024 14:22,82,36.4,App,Active
C0046,72,Ctr,SME,21/06/2024 19:07,84.8,38.5,App,Active
C0047,25,East,Consumer,20/05/2025 1:13,81.3,26.5,App,Active
