delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost
DL00001,O00938,D004,V056,H05,18/06/2024 10:57,05:59.9,Failed,17.26,1,0,3.07,12.05
DL00002,O00004,D138,V007,H02,11/01/2025 18:45,39:00.0,OnTime,10.34,1,0,5,13.41
DL00003,O00639,D006,V049,H02,02/06/2025 20:39,45:32.4,OnTime,7.92,0,0,4.98,8.51
DL00004,O00313,D116,V055,H02,08/03/2024 23:31,30:08.1,Delayed,16.42,0,0,4.18,13.62
DL00005,O00844,D108,V034,H01,21/09/2025 11:43,45:34.1,OnTime,14.52,1,0,4.18,9.22
DL00006,O00029,D037,V098,H03,11/09/2024 12:40,11:52.4,Delayed,13.84,0,0,1.57,9.58
DL00007,O00097,D151,V037,H07,09/01/2024 13:41,39:11.1,Delayed,32.72,0,0,4.64,17.7
DL00008,O00207,D082,V066,H03,22/08/2024 21:34,22:21.5,OnTime,7.16,1,0,3.76,11.66
DL00009,O00297,D088,V029,H05,12/04/2024 21:33,18:52.7,OnTime,40.230000000000004,1,0,3.7,15.78
DL00010,O00836,D058,V057,H08,22/09/2025 19:09,15:29.2,Failed,9.85,1,0,3.2,9.31
DL00011,O00202,D074,V117,H04,02/02/2024 3:09,29:05.4,OnTime,13.85,0,0,4.36,15.17
DL00012,O01207,D051,V017,H05,26/12/2024 19:41,26:05.4,Failed,16.96,3,0,,16.98
DL00013,O01031,D105,V085,H04,26/01/2025 8:29,33:30.8,OnTime,6.01,2,0,3.96,11.52
DL00014,O00725,D102,V008,H05,07/05/2024 12:40,50:43.8,OnTime,16.46,0,0,3.67,11.74
DL00015,O00394,D067,V056,H04,16/08/2024 22:47,15:56.1,OnTime,26.58,3,0,4.47,21.64
DL00016,O01220,D010,V091,H08,12/06/2025 1:47,51:00.8,OnTime,18.25,1,0,5,12.61
DL00017,O01249,D002,V008,H05,25/08/2024 18:26,05:42.1,Delayed,20.79,0,0,1,15.62
DL00018,O00611,D011,V001,H01,29/07/2025 10:52,54:19.9,OnTime,13.67,0,0,4.46,16.18
DL00019,O01167,D026,V004,H06,25/06/2024 23:58,52:41.3,OnTime,16.35,4,0,4.97,13.97
DL00020,O00054,D157,V065,H01,29/03/2025 12:59,40:37.8,OnTime,24.31,0,0,4.15,12.61
DL00021,O00250,D117,V081,H08,24/04/2025 14:20,20:52.9,OnTime,9.77,4,0,4.07,6.43
DL00022,O01027,D088,V011,H07,24/08/2025 0:21,25:39.7,Failed,15.81,0,0,3.5,15.62
DL00023,O00768,D046,V021,H08,12/06/2025 1:16,37:11.4,OnTime,4.29,1,0,5,2.5
DL00024,O01054,D045,V029,H02,19/08/2025 14:33,11:44.6,OnTime,8.58,0,0,4.78,14.62
DL00025,O00288,D130,V098,H04,08/09/2025 19:57,37:15.7,OnTime,7.41,0,0,5,7.2
DL00026,O00906,D092,V055,H04,04/02/2025 11:16,48:45.8,Failed,14.27,2,0,2.23,10.04
DL00027,O00827,D057,V054,H02,01/01/2024 3:20,13:30.9,OnTime,13.27,0,0,4.15,9.05
DL00028,O00087,D165,V022,H08,12/11/2024 15:52,15:00.4,Delayed,15.53,2,0,2.7,13.05
DL00029,O00723,D126,V086,H07,15/05/2024 6:49,38:00.0,OnTime,9.43,1,0,3.72,8.72
DL00030,O00780,D034,V068,H03,16/06/2024 18:57,22:12.5,OnTime,7.71,1,0,4.1,16.42
DL00031,O00830,D037,V061,H01,23/07/2025 23:32,21:38.2,OnTime,12.06,0,0,4.1,14.98
DL00032,O00010,D045,V010,H08,29/01/2025 2:58,57:46.3,OnTime,15.58,1,0,4.23,13.75
DL00033,O00885,D041,V075,H06,17/11/2024 14:01,51:25.2,Failed,11.72,0,1,4.13,18.12
DL00034,O01081,D157,V110,H04,18/06/2025 12:01,14:57.1,Delayed,14.68,0,0,4.4,9.44
DL00035,O00275,D015,V038,H07,21/05/2025 21:35,56:14.9,OnTime,22.05,0,0,4.96,14.78
DL00036,O00652,D158,V106,H06,08/11/2024 22:14,09:13.0,OnTime,15.77,1,0,4.35,13.68
DL00037,O00185,D010,V113,H05,15/05/2025 2:24,10:07.7,OnTime,23.49,1,0,4.21,11.21
DL00038,O00727,D096,V002,H02,26/10/2025 15:31,43:11.5,Failed,8.82,2,0,3.43,13.21
DL00039,O00542,D090,V034,H08,26/07/2025 15:58,22:45.7,Failed,17.13,1,0,2.51,16.3
DL00040,O00919,D027,V036,H04,01/02/2025 8:38,04:35.3,Failed,9.53,1,0,1.68,11.11
DL00041,O00750,D100,V057,H08,01/02/2024 8:58,53:37.4,Failed,15.88,3,1,2.94,13.19
DL00042,O00009,D146,V020,H01,04/10/2024 1:05,49:54.3,OnTime,12.02,0,0,4.45,11.41
DL00043,O00453,D110,V039,H07,04/12/2024 15:46,31:28.6,OnTime,11.94,0,0,4.24,11.81
DL00044,O00147,D049,V020,H01,12/07/2024 9:47,20:42.9,OnTime,4.63,0,0,4.34,12.87
DL00045,O00924,D157,V051,H08,07/11/2025 0:32,03:01.6,OnTime,10.61,1,0,5,14.13
DL00046,O00101,D088,V046,H05,30/10/2025 7:35,59:41.4,OnTime,5.53,2,0,3.09,11.27
DL00047,O00263,D045,V091,H06,19/02/2024 4:07,46:04.7,OnTime,16.33,0,0,5,10.25
DL00048,O00358,D045,V093,H05,20/03/2024 13:40,11:50.9,Delayed,7.37,0,0,3.33,14.67
DL00049,O01076,D091,V018,H02,29/09/2024 1:23,46:30.3,OnTime,12.55,0,0,3.52,6.93
DL00050,O00534,D065,V046,H06,05/09/2025 5:03,24:00.0,OnTime,26.85,0,0,5,14.34
DL00051,O00785,D150,V055,H07,31/12/2025 17:27,05:52.4,OnTime,8.02,0,0,4.31,14.59
DL00052,O00554,D168,V020,H08,06/05/2025 10:37,57:25.3,Delayed,26.380000000000003,1,1,2.52,24.54
DL00053,O00302,D018,V099,H01,10/07/2025 18:38,06:29.6,OnTime,14.14,0,0,3.63,10.32
DL00054,O01044,D117,V079,H01,14/02/2025 7:41,37:54.2,Delayed,29.799999999999997,1,0,4.7,22.28
DL00055,O00819,D069,V018,H04,28/04/2025 21:37,45:04.6,Delayed,35.07,5,1,2.78,22.2
DL00056,O00698,D137,V081,H08,22/10/2024 21:45,00:19.3,OnTime,13.46,2,0,4.01,6.52
DL00057,O00921,D141,V077,H04,09/12/2024 10:53,18:39.8,Failed,10.91,0,0,1.22,6.59
DL00058,O01062,D125,V082,H02,26/10/2024 18:46,22:57.9,OnTime,15.33,0,0,5,7.95
DL00059,O00521,D027,V088,H05,26/11/2025 14:07,49:47.4,Delayed,36.28,3,0,3.11,17.45
DL00060,O00236,D005,V026,H02,26/11/2024 16:01,,Delayed,13.92,1,1,2.35,9.48
DL00061,O00635,D083,V059,H08,06/12/2024 6:18,02:21.5,OnTime,10.51,1,0,3.8,10.6
DL00062,O00567,D061,V007,H02,24/02/2024 16:31,31:54.3,OnTime,1.2,0,0,5,7.32
DL00063,O00931,D154,V094,H03,07/03/2024 11:20,02:37.9,OnTime,15.95,0,0,5,14.6
DL00064,O01236,D075,V004,H03,30/05/2025 0:35,36:22.9,Delayed,10.36,0,0,2.34,7.13
DL00065,O01234,D050,V065,H01,24/02/2024 1:55,52:27.1,OnTime,1.67,1,0,4.63,6.2
DL00066,O00568,D118,V083,H01,19/12/2025 20:41,15:32.8,OnTime,22.39,0,0,4.03,18.25
DL00067,O00842,D152,V023,H01,04/07/2025 4:43,29:14.6,OnTime,12.34,1,0,4.61,11.04
DL00068,O00828,D104,V046,H08,19/02/2024 15:15,47:37.3,Failed,19.75,1,0,3.73,16.14
DL00069,O01039,D010,V074,H07,01/05/2025 11:46,43:03.2,Failed,16.76,1,0,4.17,10.73
DL00070,O00370,D018,V036,H07,21/11/2024 18:37,57:39.4,OnTime,16.35,0,0,4.64,18.11
DL00071,O00796,D093,V080,H02,28/01/2025 6:57,41:12.0,Delayed,20.37,1,0,3.57,18.14
DL00072,O00402,D110,V027,H05,20/11/2025 6:20,21:38.6,Delayed,28.51,0,0,3.28,15.11
DL00073,O00421,D141,V092,H08,23/07/2025 7:06,47:40.5,OnTime,19.34,3,0,4.68,17.54
DL00074,O01195,D030,V092,H04,04/01/2025 8:41,01:18.8,Failed,17.61,1,0,4.42,14.79
DL00075,O01239,D169,V047,H02,06/08/2024 4:24,22:04.3,OnTime,13.25,3,0,3.24,11.94
DL00076,O00815,D120,V004,H01,25/02/2024 17:02,44:41.6,OnTime,27.509999999999998,3,0,5,15.16
DL00077,O01040,D094,V067,H04,27/12/2025 22:16,51:46.0,Delayed,32.97,3,0,2.81,18.07
DL00078,O00173,D144,V088,H02,18/02/2025 8:26,34:49.2,Failed,10.92,1,0,2.87,9.05
DL00079,O00920,D009,V102,H08,01/08/2024 12:06,56:00.6,OnTime,7.18,0,0,4.91,12.79
DL00080,O01137,D030,V022,H04,14/10/2025 8:21,32:00.0,OnTime,16.29,0,0,4.42,14.17
DL00081,O00716,D166,V056,H04,22/10/2024 6:38,18:42.6,Delayed,9.77,1,1,3.58,12.68
DL00082,O00669,D008,V048,H03,15/07/2025 15:38,44:17.5,OnTime,3.98,1,0,4.76,5.86
DL00083,O00451,D053,V043,H05,15/02/2025 18:28,33:28.4,Delayed,2.13,0,0,1.44,11.27
DL00084,O00784,D063,V117,H05,07/03/2025 3:24,43:35.3,Failed,6.83,0,0,3.63,9.07
DL00085,O00160,D127,V032,H06,20/08/2024 19:18,,OnTime,9.49,5,0,3.85,16.32
DL00086,O01013,D159,V063,H02,22/08/2025 17:32,39:11.3,OnTime,17.4,0,0,3.75,12.23
DL00087,O00630,D034,V099,H07,28/03/2025 15:08,28:40.0,OnTime,17.98,0,0,4.11,13.23
DL00088,O00657,D088,V043,H04,28/02/2024 23:43,16:11.4,OnTime,5.99,0,0,4.43,2.5
DL00089,O00241,D010,V112,H03,01/04/2025 15:27,28:34.3,Failed,8.27,0,0,2.56,6.94
DL00090,O01097,D027,V065,H04,14/07/2024 23:21,00:31.8,OnTime,33.86,3,0,4.76,24.2
DL00091,O00941,D116,V044,H04,12/08/2024 15:04,48:31.8,OnTime,14.47,0,0,5,10.57
DL00092,O00736,D105,V016,H01,25/01/2024 0:39,47:51.4,OnTime,7.66,1,0,4.72,8.17
DL00093,O00579,D028,V032,H05,05/09/2025 12:14,49:10.4,OnTime,19.68,3,0,3.69,18.64
DL00094,O01026,D034,V012,H04,26/05/2025 22:56,41:42.0,Delayed,4.66,0,0,3.72,16.6
DL00095,O00416,D031,V005,H08,07/01/2024 23:00,37:11.6,OnTime,28.69,1,0,5,13.48
DL00096,O00961,D077,V110,H01,18/03/2025 16:23,,Delayed,1.2,0,0,3.24,2.61
DL00097,O00794,D170,V109,H07,16/07/2024 22:51,52:17.4,Failed,10.54,1,0,3.58,3.56
DL00098,O00631,D004,V072,H07,05/07/2025 9:16,47:44.2,Failed,3.86,1,0,4.43,15.58
DL00099,O00835,D127,V093,H01,26/05/2024 18:57,53:38.9,OnTime,5.6,2,0,4.75,13.26
DL00100,O00205,D120,V097,H05,05/02/2025 16:42,09:53.7,Failed,8.64,0,0,3.14,13.47
DL00101,O00354,D141,V115,H06,02/12/2025 18:06,18:47.0,OnTime,21.63,0,0,4.12,14.3
DL00102,O00578,D031,V022,H02,04/03/2024 9:56,51:57.8,Delayed,9.18,0,0,3.08,11.31
DL00103,O00269,D004,V036,H04,01/12/2024 1:20,58:15.9,Failed,6.26,2,0,2.24,9.31
DL00104,O00390,D102,V111,H06,06/03/2024 12:50,08:19.1,OnTime,8.75,0,0,4.45,7.5
DL00105,O00596,D020,V043,H01,02/10/2025 4:09,54:51.6,OnTime,18.52,0,0,3.73,20.45
DL00106,O00039,D040,V015,H05,01/08/2025 8:30,18:45.0,OnTime,18.02,0,0,4.92,15.57
DL00107,O00175,D120,V074,H05,19/12/2025 20:22,26:01.8,OnTime,6.47,1,0,4.69,8.8
DL00108,O00620,D084,V009,H06,08/11/2024 1:38,02:54.8,OnTime,13.73,1,0,4.73,17.52
DL00109,O00019,D014,V083,H05,31/03/2024 9:02,20:28.9,OnTime,16.7,1,0,3.52,16.91
DL00110,O00045,D024,V042,H03,13/02/2024 21:24,15:37.4,OnTime,14.39,1,0,4.74,8.64
DL00111,O00105,D081,V090,H06,09/07/2024 23:17,43:25.1,OnTime,18.8,0,0,5,20.02
DL00112,O00848,D068,V049,H05,03/06/2025 14:51,37:51.7,OnTime,10.88,3,0,3.68,8.03
DL00113,O00607,D072,V083,H05,30/08/2025 19:15,58:56.0,OnTime,7.42,0,0,2.94,15.7
DL00114,O01196,D074,V114,H02,12/04/2024 3:31,47:55.7,Delayed,16.99,0,0,2.62,19.44
DL00115,O01132,D030,V116,H04,04/05/2025 1:04,53:19.4,OnTime,18.75,1,0,4.35,8.08
DL00116,O00121,D023,V047,H06,14/10/2025 13:45,06:51.7,Delayed,19.9,0,0,2.92,21.64
DL00117,O00559,D080,V119,H06,24/04/2025 8:49,39:56.7,Delayed,11.84,0,1,2.46,17.91
DL00118,O00660,D143,V004,H01,05/06/2024 1:27,05:09.7,Failed,11.45,3,0,2.16,8.94
DL00119,O01011,D076,V037,H03,28/02/2024 7:57,55:52.4,Failed,32.37,3,0,1.71,25.09
DL00120,O00007,D128,V047,H06,05/05/2024 22:10,05:17.6,Delayed,9.07,1,1,3.93,9.76
DL00121,O00091,D078,V100,H05,14/03/2024 2:36,52:56.8,OnTime,18.81,0,0,3.92,11.62
DL00122,O00434,D122,V092,H01,25/10/2025 21:25,15:00.0,OnTime,29.52,4,0,4.63,10.56
DL00123,O00284,D030,V025,H04,02/04/2024 13:26,11:28.2,OnTime,13.45,2,0,4.75,12.86
DL00124,O00210,D113,V040,H05,14/05/2024 20:07,02:59.1,OnTime,14.23,2,0,4.78,19.49
DL00125,O00472,D021,V109,H05,22/02/2024 10:05,39:44.1,OnTime,14.25,3,0,3.68,12.59
DL00126,O00547,D159,V001,H07,09/04/2024 14:36,11:28.1,Delayed,17.68,0,0,2.6,10.92
DL00127,O01072,D026,V099,H02,05/10/2024 0:19,08:10.1,Delayed,16.56,2,0,2.12,11.9
DL00128,O00868,D089,V099,H07,18/05/2024 16:31,54:46.9,OnTime,9.43,0,0,4.47,10.47
DL00129,O00425,D030,V078,H08,27/11/2024 8:41,07:10.3,OnTime,21.27,3,0,5,11.59
DL00130,O00400,D113,V042,H03,20/06/2025 8:41,30:11.0,OnTime,17.1,0,0,3.87,13.53
DL00131,O00890,D037,V096,H07,05/07/2025 10:26,48:04.9,OnTime,16.59,0,0,4.33,3.25
DL00132,O00688,D058,V061,H03,25/04/2024 8:29,02:10.1,OnTime,19.79,0,0,4.62,5.66
DL00133,O00761,D083,V070,H03,12/08/2025 5:33,33:17.8,OnTime,17.73,1,0,3.29,10.88
DL00134,O00334,D135,V071,H03,23/05/2024 12:01,46:57.1,OnTime,13.27,0,0,3.88,7.63
DL00135,O00225,D069,V075,H03,28/07/2025 4:31,14:21.6,Failed,10.34,2,0,3.6,9.3
DL00136,O00527,D032,V106,H06,05/04/2024 6:41,08:14.2,OnTime,4.06,1,0,4.45,5.7
DL00137,O01216,D053,V109,H07,28/08/2025 20:12,36:59.0,Delayed,13.46,2,0,2.72,11.11
DL00138,O00705,D019,V071,H04,09/09/2025 22:58,00:03.4,OnTime,11.23,2,0,4.75,15.22
DL00139,O01215,D140,V084,H05,05/08/2025 3:23,37:39.1,OnTime,12.23,0,0,3.57,13.59
DL00140,O00656,D079,V050,H06,08/01/2025 0:27,59:38.1,Delayed,15.69,0,1,2.23,11.96
DL00141,O00021,D166,V094,H04,16/10/2024 12:41,59:34.2,OnTime,10.45,1,0,4.77,7.89
DL00142,O00612,D158,V016,H08,19/05/2025 20:32,33:52.0,OnTime,4.04,2,0,3.27,15.78
DL00143,O00757,D026,V051,H04,22/02/2025 8:56,28:42.0,Delayed,22.37,0,0,3.64,19.33
DL00144,O00170,D016,V016,H06,24/06/2024 9:02,42:51.2,OnTime,25.979999999999997,4,0,4.84,27.38
DL00145,O00668,D155,V081,H06,11/07/2025 0:42,33:45.6,OnTime,29.37,2,0,3.95,18.72
DL00146,O00058,D052,V094,H03,16/12/2025 6:56,52:51.3,OnTime,22.04,0,0,4.37,6.16
DL00147,O01116,D123,V017,H06,13/11/2024 14:46,29:47.1,OnTime,1.21,1,0,4.08,14.96
DL00148,O00817,D087,V120,H05,31/12/2025 9:02,10:07.3,OnTime,16.75,1,0,4.04,15.84
DL00149,O00789,D024,V099,H08,11/12/2024 13:03,56:25.0,OnTime,5.74,2,0,3.83,3.72
DL00150,O01164,D083,V042,H07,09/06/2025 18:46,04:10.9,Delayed,10.43,0,0,2.83,10.61
DL00151,O00376,D131,V048,H03,21/01/2025 9:34,14:52.4,OnTime,12.77,1,0,4.77,10.12
DL00152,O00146,D121,V047,H01,10/10/2025 1:22,11:11.3,OnTime,3.02,0,0,4.71,8.34
DL00153,O00893,D115,V007,H01,05/08/2024 8:55,10:16.1,Failed,12.85,1,0,3.96,15.21
DL00154,O00071,D018,V110,H08,01/09/2024 0:47,07:26.3,Failed,7.04,1,0,4.2,5.23
DL00155,O00061,D048,V052,H02,12/07/2024 3:31,43:58.7,OnTime,24.74,1,0,4.46,18.46
DL00156,O01086,D100,V085,H08,05/03/2024 21:40,03:18.7,Delayed,31.740000000000002,2,0,2.18,17.62
DL00157,O01089,D144,V040,H06,18/05/2025 5:27,03:36.6,OnTime,12.43,2,0,5,13.52
DL00158,O00643,D031,V072,H08,10/04/2025 19:05,26:34.0,Delayed,29.34,3,0,3.8,15.45
DL00159,O00213,D120,V020,H05,05/12/2024 20:07,13:18.7,OnTime,11.73,0,0,5,21.25
DL00160,O00874,D108,V085,H04,15/06/2024 16:06,00:31.8,OnTime,16.67,1,0,5,9.13
DL00161,O00624,D055,V098,H01,13/04/2025 4:37,10:40.3,OnTime,16.98,0,0,4.28,11.8
DL00162,O00854,D122,V071,H02,01/09/2024 4:30,10:42.0,OnTime,25.939999999999998,0,0,4.84,11.4
DL00163,O01007,D121,V056,H07,24/09/2024 8:50,30:25.9,Delayed,9.31,0,0,2.51,8.76
DL00164,O00066,D045,V120,H03,21/06/2024 11:36,46:30.9,OnTime,17.31,0,0,3.9,17.53
DL00165,O00852,D006,V022,H03,13/07/2025 18:06,22:13.7,Delayed,8.64,0,1,4.55,2.5
DL00166,O00904,D091,V017,H04,25/05/2024 20:26,51:28.1,Failed,24.07,0,0,2.08,13.51
DL00167,O00932,D116,V069,H08,01/10/2024 7:37,14:50.1,Failed,19.439999999999998,0,0,2.56,13.3
DL00168,O00126,D100,V066,H01,26/05/2024 9:29,28:20.2,Delayed,30.51,2,0,4.3,18.34
DL00169,O00996,D037,V115,H07,26/04/2025 7:29,46:10.1,OnTime,10.5,2,0,4.08,10.38
DL00170,O00363,D020,V093,H04,04/06/2025 3:57,40:45.8,OnTime,10.59,0,0,4.07,10.74
DL00171,O01055,D096,V085,H07,13/08/2025 19:47,52:05.5,OnTime,23.42,1,0,4.35,13.6
DL00172,O00127,D132,V106,H06,08/11/2025 4:29,24:08.2,Delayed,13.58,2,1,4.36,11.2
DL00173,O00459,D131,V026,H08,28/11/2025 8:52,17:47.3,Delayed,15.37,0,0,3.88,6.1
DL00174,O00162,D020,V066,H07,14/12/2025 4:21,45:39.0,OnTime,9.9,2,0,4.18,9.86
DL00175,O00583,D036,V118,H03,17/04/2025 21:40,57:45.6,OnTime,15.62,1,0,3.93,9.26
DL00176,O01200,D061,V116,H05,23/02/2024 8:31,20:44.3,OnTime,16.02,0,0,4.36,16.67
DL00177,O00164,D123,V045,H01,23/03/2024 14:11,34:32.6,OnTime,8.31,0,0,4.85,9.58
DL00178,O01166,D024,V052,H05,22/09/2025 12:46,06:17.6,Failed,13.01,2,1,3.36,6.79
DL00179,O00493,D016,V094,H08,20/05/2024 4:07,35:01.1,Delayed,9.15,1,0,2.32,12.14
DL00180,O00137,D135,V054,H08,14/03/2025 19:37,15:52.9,OnTime,19.65,0,0,4.25,14.94
DL00181,O00450,D073,V014,H02,25/08/2024 23:47,58:43.0,OnTime,12.74,1,0,5,14.37
DL00182,O00096,D071,V102,H04,13/07/2024 18:06,46:16.6,OnTime,7.62,0,0,4.64,14.41
DL00183,O00808,D049,V065,H05,06/09/2024 7:26,08:53.7,OnTime,15.14,0,0,4.23,13.23
DL00184,O01005,D023,V096,H07,01/05/2025 19:42,37:43.4,Failed,13.78,0,0,2.96,13.86
DL00185,O01217,D008,V065,H01,26/01/2024 0:13,26:56.5,OnTime,15.39,3,0,4.76,13.61
DL00186,O00798,D006,V081,H06,14/01/2024 4:23,07:14.8,OnTime,14.26,1,0,4.91,4.79
DL00187,O00439,D111,V069,H05,05/03/2024 22:08,17:27.9,Failed,17.61,1,0,1.53,16.92
DL00188,O00739,D008,V075,H08,13/04/2025 23:14,05:27.4,OnTime,5.37,0,0,5,5.73
DL00189,O01227,D011,V118,H06,05/11/2024 11:52,23:23.1,Failed,14.51,1,0,2.43,12.83
DL00190,O00875,D039,V003,H07,31/10/2025 23:21,44:27.2,OnTime,2.25,0,0,4.79,7.74
DL00191,O00755,D161,V006,H08,21/08/2025 5:02,04:57.2,OnTime,13.55,0,0,3.48,21.6
DL00192,O00118,D095,V112,H04,18/08/2025 22:16,23:10.6,OnTime,14.13,0,0,4.64,16.49
DL00193,O00032,D017,V013,H08,16/09/2025 0:28,38:00.0,OnTime,14.01,4,0,3.54,9.08
DL00194,O00422,D053,V110,H01,07/08/2025 9:57,44:40.5,Delayed,8.77,2,0,2.58,9.97
DL00195,O00462,D162,V028,H06,03/03/2025 20:56,39:20.2,Delayed,13,1,0,1.04,10.71
DL00196,O00469,D111,V009,H08,19/09/2024 0:27,29:59.9,OnTime,13.83,1,0,3.85,12.41
DL00197,O00478,D163,V053,H02,21/04/2025 0:07,03:50.9,OnTime,11.17,0,0,5,2.84
DL00198,O00465,D156,V111,H04,08/12/2024 7:33,46:07.6,Delayed,8.01,0,0,3.38,10.98
DL00199,O00821,D086,V088,H05,25/01/2025 3:15,28:34.4,OnTime,24.31,1,0,4.36,18.49
DL00200,O00406,D160,V106,H06,05/01/2025 13:23,10:14.8,OnTime,31.46,2,0,4.38,16.38
DL00201,O00008,D036,V041,H03,03/04/2024 20:22,46:56.6,OnTime,14.08,0,0,5,12.87
