incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0001,DL00221,BatteryAlert,11/03/2024 23:46,Medium,Escalated,12.3
I0002,DL00578,BatteryAlert,21/02/2024 10:56,Low,Open,9.6
I0003,DL00175,TemperatureIssue,17/04/2025 23:22,Medium,Open,22
I0004,DL00417,ProofMissing,09/02/2025 0:16,Medium,Closed,9.8
I0005,DL00897,RouteDeviation,04/01/2025 2:49,Low,Open,13
I0006,DL00634,CustomerNoShow,08/08/2025 21:26,High,PendingVendor,19.9
I0007,DL00495,AppSyncError,23/05/2024 2:29,Low,PendingVendor,4.8
I0008,DL00602,RouteDeviation,17/08/2024 1:27,Medium,Closed,12.1
I0009,DL00636,CustomerNoShow,24/08/2024 22:28,Medium,Closed,15.8
I0010,DL00052,CustomerNoShow,06/05/2025 14:17,Medium,Closed,9.4
I0011,DL00376,CustomerNoShow,21/09/2024 19:17,Medium,Closed,20.4
I0012,DL00366,RouteDeviation,24/07/2025 6:39,Medium,Escalated,18.7
I0013,DL00253,BatteryAlert,30/09/2024 7:49,High,Closed,20.9
I0014,DL00075,VehicleFault,06/08/2024 4:32,High,Open,5
I0015,DL00607,ProofMissing,11/09/2024 17:48,High,Closed,
I0016,DL00724,AppSyncError,10/10/2024 8:26,Low,PendingVendor,18.7
I0017,DL00809,ProofMissing,27/02/2025 0:31,Low,Closed,
I0018,DL00574,AppSyncError,08/11/2025 21:55,High,Closed,10.5
I0019,DL00685,BatteryAlert,12/02/2024 7:05,High,Closed,11.3
I0020,DL00921,TemperatureIssue,04/01/2025 4:14,Critical,Closed,3.3
I0021,DL00186,SafetyNearMiss,14/01/2024 6:44,Medium,Escalated,4.8
I0022,DL00097,BatteryAlert,17/07/2024 1:29,Medium,Escalated,26.8
I0023,DL00904,ProofMissing,19/08/2025 8:30,Medium,Escalated,4.8
I0024,DL00850,ProofMissing,30/08/2025 22:55,Low,Closed,12
I0025,DL00413,BatteryAlert,30/08/2024 2:36,Medium,PendingVendor,5.7
