vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
V001,EV,North,28/12/2024 23:48,71.8,56928,Active,v2.2
V002,EV,AIRPORT,21/04/2024 16:14,67.9,159368,InRepair,v2.2
V003,CargoVan,north,24/11/2025 23:59,91.7,219359,Active,v2.1
V004,Hybrid,RiverSide,07/06/2024 13:21,,36310,Active,v2.2
V005,CargoVan,West,15/11/2025 11:08,58.6,146638,Active,v2.2
V006,EV,Central,22/11/2025 6:39,78.6,141381,Active,v2.1
V007,Diesel,AIRPORT,17/09/2025 8:52,68.6,78468,Active,v2.2
V008,EV,RiverSide,14/06/2025 3:47,90.5,49711,Active,v2.0
V009,CargoVan,South,01/05/2025 8:50,68.8,156687,Active,v2.1
V010,CargoVan,NORTH,07/10/2025 22:40,50.7,129032,InRepair,v2.1
V011,Diesel,Riverside,21/12/2025 4:26,74.1,43518,InRepair,v2.1
V012,Hybrid,SOUTH,15/04/2024 0:26,56.2,52021,Active,v2.1
V013,CargoVan,WEST,17/07/2025 18:07,68.3,153106,Scheduled,v2.0
V014,EV,AIRPORT,24/05/2025 12:36,100,206339,Scheduled,v2.0
V015,CargoVan,Airport,02/06/2024 13:54,78.2,67614,InRepair,v1.9
V016,EV,WEST,13/10/2024 19:38,63.5,84395,Active,v2.1
V017,Hybrid,RiverSide,23/04/2024 12:54,82.4,169703,InRepair,v2.2
V018,Diesel,RiverSide,08/04/2025 22:29,86.8,98363,Scheduled,v2.1
V019,Diesel,SOUTH,21/10/2024 23:22,70.4,151460,Scheduled,v2.2
V020,Hybrid,Riverside,26/10/2024 11:25,82.3,187051,Scheduled,v2.1
V021,Diesel,CENTRAL,22/06/2025 17:38,83,71294,Active,v2.2
V022,Hybrid,South,28/01/2025 20:20,89.6,44499,Scheduled,v2.1
V023,Hybrid,EAST,07/01/2024 23:54,70.7,188387,Active,v2.1
V024,EV,East,26/05/2025 12:28,74.9,56967,Active,v2.1
V025,Diesel,AIRPORT,03/11/2024 5:34,42,52074,Active,v2.1
V026,CargoVan,Riverside,07/11/2024 4:27,78.7,200276,InRepair,v2.2
V027,Diesel,SOUTH,12/08/2025 12:37,78.6,51052,InRepair,v2.2
V028,EV,East,25/08/2024 2:52,75.4,149698,Active,v2.0
V029,EV,north,04/12/2024 10:53,,130270,Active,v2.0
V030,CargoVan,North,14/09/2025 7:20,78,134360,Active,v2.1
V031,EV,East,28/07/2024 13:57,89.3,193526,Active,v1.9
V032,CargoVan,NORTH,11/01/2024 0:03,74.1,102207,Active,v1.9
V033,EV,AIRPORT,19/09/2024 18:57,78.6,55241,InRepair,v2.2
V034,EV,Riverside,24/05/2025 9:58,94.2,210683,InRepair,v2.0
V035,CargoVan,East,03/07/2025 9:34,83.6,73804,Active,v2.0
V036,Diesel,North,26/09/2025 13:33,90.4,215767,InRepair,v2.1
V037,CargoVan,South,13/06/2025 23:43,56.6,52146,InRepair,v1.9
V038,CargoVan,CENTRAL,16/03/2025 12:29,81.6,68032,Active,v2.1
V039,EV,EAST,01/01/2025 1:38,69.5,37024,InRepair,v1.9
V040,EV,CENTRAL,23/11/2025 11:28,90,133770,Active,v2.0
V041,EV,East,11/01/2024 21:04,78.4,88129,Active,v2.2
V042,EV,East,21/06/2025 7:06,80.5,215870,InRepair,v1.9
V043,EV,South,23/02/2025 11:32,76.4,149922,Scheduled,v2.0
V044,EV,AIRPORT,14/02/2025 20:35,91.8,111243,Active,v2.2
V045,EV,EAST,10/08/2025 4:56,88,190688,Active,v2.2
V046,EV,north,11/07/2024 13:31,95.8,101425,Active,v1.9
V047,EV,Ctr,15/02/2025 14:49,93.7,134347,Scheduled,v2.2
V048,Diesel,Central,01/10/2025 18:21,76.1,87659,Active,v2.1
V049,Diesel,East,09/12/2025 16:47,55.9,15278,Active,v2.2
V050,EV,RiverSide,04/04/2024 5:23,96.5,114188,Active,v2.1
V051,EV,North,21/11/2024 11:04,87.8,141107,Active,v2.0
V052,Hybrid,Riverside,14/11/2024 16:11,95.4,182486,Active,v1.9
V053,CargoVan,WEST,23/04/2024 20:57,73.7,122638,Scheduled,v2.0
V054,Hybrid,North,28/10/2024 22:21,76.7,90558,Scheduled,v2.2
V055,Hybrid,East,05/06/2025 13:40,83.3,85635,Active,v2.1
V056,EV,CENTRAL,09/06/2024 16:18,78.4,29849,Active,v2.2
V057,EV,Riverside,07/06/2025 6:32,76,160770,InRepair,v2.0
V058,Hybrid,CENTRAL,11/07/2024 13:11,74.1,15138,Active,v2.0
V059,Hybrid,AIRPORT,02/03/2024 20:36,85.2,188332,InRepair,v2.1
V060,CargoVan,Ctr,09/09/2025 3:22,80.2,65113,InRepair,v2.0
V061,Diesel,South,06/08/2025 20:40,60.3,126438,Active,v2.2
V062,Hybrid,North,13/02/2024 22:26,89.9,113343,Active,v2.0
V063,EV,Central,11/01/2024 0:19,73.6,159860,Active,v2.1
V064,CargoVan,WEST,28/12/2025 22:35,67.3,219116,InRepair,v2.2
V065,EV,West,05/01/2024 9:25,84.3,217057,Active,v2.1
V066,Hybrid,NORTH,10/04/2024 18:00,77.7,98535,Scheduled,v2.2
V067,Hybrid,Ctr,15/11/2025 0:12,57.3,176145,Active,v2.0
V068,Hybrid,Riverside,28/06/2024 15:49,97.5,73769,InRepair,v2.0
V069,Hybrid,CENTRAL,20/07/2025 18:17,71.4,187158,Active,v2.1
V070,CargoVan,North,24/10/2025 17:32,62.6,39859,InRepair,v2.0
V071,EV,West,27/05/2024 18:12,73.8,195310,Scheduled,v1.9
V072,CargoVan,AIRPORT,24/02/2025 19:07,78.1,89109,InRepair,v2.1
V073,Hybrid,AIRPORT,28/05/2024 5:33,,191353,Active,v2.1
V074,CargoVan,EAST,05/06/2025 3:01,62.4,18034,Active,v2.1
V075,Diesel,WEST,12/04/2024 2:10,85.5,32441,InRepair,v2.1
V076,Diesel,Central,19/06/2025 15:52,65.8,106063,InRepair,v1.9
V077,EV,South,23/04/2025 19:27,67.6,116877,Scheduled,v2.1
V078,CargoVan,north,04/03/2024 20:00,78.4,153638,Active,v2.1
V079,EV,AIRPORT,01/12/2025 18:20,100,117995,Active,v2.2
V080,EV,EAST,27/05/2024 22:15,100,68844,Active,v1.9
V081,EV,West,28/12/2024 8:10,86.6,165481,Active,v2.2
V082,EV,Ctr,03/02/2024 8:40,81.2,81518,Active,v2.1
V083,CargoVan,NORTH,11/04/2024 18:04,79.3,42073,Active,v2.2
V084,CargoVan,Riverside,23/12/2024 6:28,47.6,53872,InRepair,v2.1
V085,CargoVan,SOUTH,30/09/2025 12:01,87.3,145652,Active,v2.1
V086,EV,CENTRAL,25/02/2024 7:56,82.8,42307,Scheduled,v2.2
V087,Hybrid,AIRPORT,09/02/2025 18:48,49.7,116811,Active,v2.1
V088,Diesel,north,14/02/2024 14:03,80.3,50427,InRepair,v2.1
V089,CargoVan,CENTRAL,27/09/2025 7:15,93.6,136082,InRepair,v1.9
V090,Hybrid,WEST,16/08/2024 1:10,93.8,98472,InRepair,v2.0
V091,Hybrid,EAST,24/08/2025 5:20,58.5,172956,Active,v1.9
V092,Hybrid,East,07/01/2024 14:19,80.5,36143,InRepair,v2.1
V093,CargoVan,Central,04/03/2025 19:16,69.2,119136,Scheduled,v2.0
V094,CargoVan,CENTRAL,22/05/2025 2:15,65.9,159262,Scheduled,v1.9
V095,CargoVan,Riverside,24/11/2025 12:43,79,104553,InRepair,v2.0
